label,guid,cs_3,cs_15,xf_3,xf_15,th_3,th_15,hp_3,hp_15,cp_3,cp_15,last_dl,last_xf
0,1,6,30,3,10,0,1,10,15,1,2,1,1
0,2,7,31,4,10,1,2,11,16,2,3,1,1
0,3,8,29,6,11,2,2,12,17,1,1,1,2
0,4,7,27,6,13,1,2,13,18,2,3,2,3
0,5,8,26,7,10,2,3,14,19,3,4,3,4
0,6,6,30,3,9,0,1,10,15,1,2,1,1
0,7,7,32,2,10,1,2,11,16,2,3,1,1
0,8,7,26,1,8,2,2,12,17,1,1,1,2
0,9,9,24,8,12,1,2,13,18,2,3,2,3
0,10,9,25,9,10,2,3,14,19,3,4,3,4
1,11,0,1,0,1,0,1,0,0,0,1,14,14
1,12,0,2,0,2,0,2,0,0,0,2,13,14
1,13,0,1,0,0,0,0,0,0,0,0,14,14
1,14,0,3,0,2,0,0,0,0,0,2,14,14
1,15,0,1,0,2,0,0,0,0,0,0,14,14
1,16,0,1,0,1,0,1,0,0,0,1,14,14
1,17,0,2,0,2,0,2,0,0,0,2,13,14
1,18,0,1,0,1,0,0,0,0,0,0,13,14
1,19,0,3,0,2,0,0,0,0,0,2,12,13
1.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,11.0